Id	CAS	SMILES	Status	Experimental value	Predicted value
59	N.A.	O=C(O)CC(N)C(=O)NC(C(=O)OC)Cc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
60	N.A.	O=C(O)c1ccccc1(OC(=O)C)	Training	NON-Carcinogen	Possible NON-Carcinogen
61	N.A.	Fc1ccc(cc1)Cn3c(nc2ccccc23)NC5CCN(CCc4ccc(OC)cc4)CC5	Training	NON-Carcinogen	Possible NON-Carcinogen
62	N.A.	n1c(nc(nc1NC(C)C)Cl)NCC	Training	Carcinogen	Possible NON-Carcinogen
63	N.A.	O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO	Training	NON-Carcinogen	Possible NON-Carcinogen
64	N.A.	O=C1N=C(N)C=NN1C2OC(CO)C(O)C2(O)	Training	NON-Carcinogen	Carcinogen
65	N.A.	N#[N+]C=C([O-])OCC(N)C(=O)O	Training	Carcinogen	Possible NON-Carcinogen
66	N.A.	O=[N+]([O-])c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	NON-Carcinogen	Carcinogen
67	N.A.	O=C(OC(C)C)C5=C(NC(N)=C(C(=O)OC1CN(C1)C(c2ccccc2)c3ccccc3)C5(c4cccc(c4)[N+](=O)[O-]))C	Training	NON-Carcinogen	Carcinogen
68	N.A.	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	NON-Carcinogen	Carcinogen
69	N.A.	N(=Nc1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
70	N.A.	[O-][N+](=NC)C	Training	Carcinogen	Carcinogen
71	N.A.	[O-][N+](=NCCC)CCC	Training	Carcinogen	Carcinogen
72	N.A.	[O-][N+](=NC(C)C)C(C)C	Training	Carcinogen	Carcinogen
73	N.A.	[N-]=[N+]=NC1CC(OC1(CO))N2C=C(C(=O)NC2(=O))C	Training	Carcinogen	Carcinogen
74	N.A.	O=C1NC(=O)CC(=O)N1	Training	NON-Carcinogen	Possible NON-Carcinogen
75	N.A.	n2cnn3c(nc(c1ccccc1)c(c23)CCOCC)N	Training	Carcinogen	Carcinogen
76	N.A.	O=C(O)c1ccc(cc1)NN=C2C=CC(=O)C(=C2)C(=O)O	Training	NON-Carcinogen	Carcinogen
77	N.A.	O=Cc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
78	N.A.	c1ccccc1	Training	Carcinogen	Possible NON-Carcinogen
79	N.A.	Nc1ccc(cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
80	N.A.	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	Carcinogen	Carcinogen
81	N.A.	o1ccc2ccccc12	Training	Carcinogen	Carcinogen
82	N.A.	n1c(nc(nc1N)c2ccccc2)N	Training	NON-Carcinogen	Possible NON-Carcinogen
83	N.A.	O=C(O)c1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
84	N.A.	O=C(c1ccccc1)C(O)c2ccccc2	Training	NON-Carcinogen	Possible NON-Carcinogen
85	N.A.	n1[nH]nc2ccccc12	Training	NON-Carcinogen	Possible NON-Carcinogen
86	N.A.	O=C(OCc1ccccc1)C	Training	NON-Carcinogen	Possible NON-Carcinogen
87	N.A.	OCc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
88	N.A.	c1ccc(cc1)CCl	Training	NON-Carcinogen	Carcinogen
89	N.A.	Oc1ccc(cc1Cc2ccccc2)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
90	N.A.	C(=NCc1ccccc1)=S	Training	NON-Carcinogen	Possible NON-Carcinogen
91	N.A.	N#CSCc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
92	N.A.	O=C(N)Cc1c([O-])on[n+]1Cc2ccccc2	Training	Carcinogen	Possible NON-Carcinogen
93	N.A.	OCC(CO)(CBr)CBr	Training	Carcinogen	Carcinogen
94	N.A.	O(C(C)CCl)C(C)CCl	Training	NON-Carcinogen	Carcinogen
95	N.A.	O(CCl)CCl	Training	Carcinogen	Carcinogen
96	N.A.	n1cc(cc(c1Oc3ccc(Oc2ncc(cc2Cl)Cl)cc3)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
97	N.A.	O=[N+]([O-])c3ccc(c2nc1ccccc1c(n2)N(CCO)CCO)s3	Training	Carcinogen	Carcinogen
98	N.A.	OCCN(c2nc(nc1ccccc12)c3cccs3)CCO	Training	NON-Carcinogen	Carcinogen
99	N.A.	OC(C)CNCC(O)C	Training	NON-Carcinogen	Possible NON-Carcinogen
100	N.A.	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
101	N.A.	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	Carcinogen	Carcinogen
102	N.A.	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	Carcinogen	Carcinogen
103	N.A.	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	NON-Carcinogen	Carcinogen
104	N.A.	C(Cl)(Cl)Br	Training	Carcinogen	Carcinogen
105	N.A.	CCBr	Training	Carcinogen	Carcinogen
106	N.A.	O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34))CCC)(C)	Training	Carcinogen	Carcinogen
107	N.A.	C=CC=C	Training	Carcinogen	Possible NON-Carcinogen
108	N.A.	OC(C)(C)C	Training	Carcinogen	Possible NON-Carcinogen
109	N.A.	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	Carcinogen	Carcinogen
110	N.A.	CCCCCl	Training	NON-Carcinogen	Carcinogen
111	N.A.	O=NN(CCCC)CCCCO	Training	Carcinogen	Carcinogen
112	N.A.	Oc1c(cc(cc1C(C)(C)C)CO)C(C)(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
113	N.A.	Oc1ccc(cc1C(C)(C)C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
114	N.A.	O=NN(C(=N[N+](=O)[O-])N)CCCC	Training	NON-Carcinogen	Carcinogen
115	N.A.	O=NN(C(=O)N)CCCC	Training	Carcinogen	Carcinogen
116	N.A.	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
117	N.A.	Oc1ccc(cc1)C(C)(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
118	N.A.	O=C(N)NCCCC	Training	NON-Carcinogen	Possible NON-Carcinogen
119	N.A.	O=C1OC(C)C1	Training	Carcinogen	Carcinogen
120	N.A.	O=C1OCCC1	Training	NON-Carcinogen	Possible NON-Carcinogen
121	N.A.	O=C(O)C=Cc1ccc(O)c(O)c1	Training	Carcinogen	Possible NON-Carcinogen
122	N.A.	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
123	N.A.	O=C(OC(OC(=O)c2cccc1nc(OCC)n(c12)Cc3ccc(cc3)c5ccccc5(c4nn[nH]n4))C)OC6CCCCC6	Training	NON-Carcinogen	Possible NON-Carcinogen
124	N.A.	O=C1NCCCCC1	Training	NON-Carcinogen	Possible NON-Carcinogen
125	N.A.	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
126	N.A.	O=C(Oc1cccc2ccccc12)NC	Training	Carcinogen	Carcinogen
127	N.A.	C(Cl)(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
128	N.A.	O=NN(C(=O)N)CC(=O)O	Training	Carcinogen	Carcinogen
129	N.A.	O=C(N)NC(=O)C(CC)(CC)Br	Training	NON-Carcinogen	Carcinogen
130	N.A.	C(=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
131	N.A.	Oc1ccccc1(O)	Training	Carcinogen	Possible NON-Carcinogen
132	N.A.	O=C(Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(=O)C)N(CC)CC	Training	NON-Carcinogen	Carcinogen
133	N.A.	O=C(O)c1cc(cc(N)c1Cl)Cl	Training	NON-Carcinogen	Carcinogen
134	N.A.	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
135	N.A.	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	NON-Carcinogen	Carcinogen
136	N.A.	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
137	N.A.	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
138	N.A.	O(c1ccc(N)cc1)c2ccc(cc2)Cl	Training	Carcinogen	Carcinogen
139	N.A.	O=C1OC(O)C(=C1Cl)C(Cl)Cl	Training	Carcinogen	Carcinogen
140	N.A.	O=C(O)c1cc(ccc1Cl)S(=O)(=O)N2CC(C)CC(C)C2	Training	Carcinogen	Possible NON-Carcinogen
141	N.A.	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Training	NON-Carcinogen	Carcinogen
142	N.A.	O=[N+]([O-])c1ccccc1Cl	Training	NON-Carcinogen	Carcinogen
143	N.A.	O=[N+]([O-])c1ccc(cc1)Cl	Training	NON-Carcinogen	Carcinogen
144	N.A.	Nc1ccc(c(N)c1)Cl	Training	Carcinogen	Possible NON-Carcinogen
145	N.A.	Nc1ccc(cc1(N))Cl	Training	Carcinogen	Possible NON-Carcinogen
146	N.A.	Nc1ccc(c(c1)Cl)C	Training	NON-Carcinogen	Carcinogen
147	N.A.	Nc1cc(ccc1C)Cl	Training	NON-Carcinogen	Carcinogen
148	N.A.	FC(F)(F)CCl	Training	Carcinogen	Carcinogen
149	N.A.	O=C(O)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	Carcinogen	Carcinogen
150	N.A.	O=C(NCCO)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	Carcinogen	Carcinogen
151	N.A.	O=C(c1ccccc1)CCl	Training	NON-Carcinogen	Carcinogen
152	N.A.	O=C(Nc1ccc(cc1)C(=O)CCl)C	Training	NON-Carcinogen	Carcinogen
153	N.A.	Nc1ccc(cc1)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
154	N.A.	N#CC(C#N)=Cc1ccccc1Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
155	N.A.	c1ccc(cc1)Cl	Training	Carcinogen	Possible NON-Carcinogen
156	N.A.	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
157	N.A.	C(Cl)(Br)Br	Training	NON-Carcinogen	Carcinogen
158	N.A.	FC(F)Cl	Training	NON-Carcinogen	Carcinogen
159	N.A.	CCCl	Training	NON-Carcinogen	Carcinogen
160	N.A.	FCCl	Training	Carcinogen	Carcinogen
161	N.A.	O(C)CCl	Training	Carcinogen	Carcinogen
162	N.A.	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	Carcinogen	Possible NON-Carcinogen
163	N.A.	n1nc4n(c1C)c3c(cc(CCc2ccc(cc2)CC(C)C)s3)C(=NC4C)c5ccccc5Cl	Training	NON-Carcinogen	Carcinogen
164	N.A.	O=C(OC(C#C)(c1ccccc1)c2ccc(cc2)Cl)N	Training	Carcinogen	Carcinogen
165	N.A.	c1cc(ccc1Cl)Sc2cc(c(cc2Cl)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
166	N.A.	C=CC(=C)Cl	Training	Carcinogen	Carcinogen
167	N.A.	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
168	N.A.	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))CCCl	Training	Carcinogen	Carcinogen
169	N.A.	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
170	N.A.	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Training	Carcinogen	Carcinogen
171	N.A.	N#CNC(=NC)NCCSCc1nc[nH]c1C	Training	NON-Carcinogen	Possible NON-Carcinogen
172	N.A.	O=C(O)C(Oc1ccc(cc1)C2CC2(Cl)Cl)(C)C	Training	Carcinogen	Carcinogen
173	N.A.	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	NON-Carcinogen	Carcinogen
174	N.A.	O=C2C1=COC(C)C(C1=C(C(=O)C2(=C(O)O))C)C	Training	Carcinogen	Carcinogen
175	N.A.	O=C(O)C(OCc1ccc(cc1)c2ccc(cc2)Cl)(C)C	Training	NON-Carcinogen	Carcinogen
176	N.A.	O=C(OCC)C(Oc1ccc(cc1)Cl)(C)C	Training	Carcinogen	Carcinogen
177	N.A.	OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	NON-Carcinogen	Carcinogen
178	N.A.	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC)	Training	NON-Carcinogen	Carcinogen
179	N.A.	O=C3N=C(c1cccc(O)c1)c2ccc(cc2N3C(C)C)C	Training	NON-Carcinogen	Carcinogen
180	N.A.	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	NON-Carcinogen	Carcinogen
181	N.A.	O(c1ccc(N)c(c1)C)C	Training	Carcinogen	Carcinogen
182	N.A.	O(c1ccc(cc1(N))C)C	Training	Carcinogen	Carcinogen
183	N.A.	O=CC=CC	Training	Carcinogen	Possible NON-Carcinogen
184	N.A.	N#CN=C(N)N	Training	NON-Carcinogen	Possible NON-Carcinogen
185	N.A.	N=C1N=C2OC3C(O)C(OC3(N2(C=C1)))CO	Training	NON-Carcinogen	Possible NON-Carcinogen
186	N.A.	OCC8OC7OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(OC3(CO))OC4C(O)C(O)C(OC4(CO))OC5C(O)C(O)C(OC5(CO))OC6C(O)C(O)C(OC6(CO))OC8(C(O)C7(O))	Training	NON-Carcinogen	Possible NON-Carcinogen
187	N.A.	O=C1CCCCC1	Training	NON-Carcinogen	Possible NON-Carcinogen
188	N.A.	ON=C1CCCC1	Training	Carcinogen	Carcinogen
189	N.A.	O=P1(OCCCN1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
190	N.A.	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Training	NON-Carcinogen	Carcinogen
191	N.A.	O=C(N)C1=NC=NC1(=NNN(C)C)	Training	Carcinogen	Carcinogen
192	N.A.	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
193	N.A.	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
194	N.A.	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
195	N.A.	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
196	N.A.	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	Carcinogen	Carcinogen
197	N.A.	O=C(OCC(=O)C35(N=C(OC5(CC2C4CCC1=CC(=O)C=CC1(C)C4(C(O)CC23(C))))C))C	Training	NON-Carcinogen	Carcinogen
198	N.A.	O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C))	Training	Carcinogen	Carcinogen
199	N.A.	O=C(OC3CC2=CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3))C	Training	Carcinogen	Carcinogen
200	N.A.	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	NON-Carcinogen	Carcinogen
201	N.A.	O=C(OC3CC4CN2CCc1c5ccccc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	NON-Carcinogen	Carcinogen
202	N.A.	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	NON-Carcinogen	Carcinogen
203	N.A.	O=C(N(c3cccc2c1ccccc1Cc23)C(=O)C)C	Training	Carcinogen	Carcinogen
204	N.A.	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	NON-Carcinogen	Carcinogen
205	N.A.	O=NN(CC=C)CC=C	Training	Carcinogen	Carcinogen
206	N.A.	O=[N+]([O-])c1oc(cc1)c2nc(nc(n2)N)N	Training	Carcinogen	Carcinogen
207	N.A.	Nc1ccc(c(N)c1)C	Training	Carcinogen	Carcinogen
208	N.A.	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Training	NON-Carcinogen	Carcinogen
209	N.A.	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	NON-Carcinogen	Carcinogen
210	N.A.	O1c3ccccc3(Oc2ccccc12)	Training	NON-Carcinogen	Carcinogen
211	N.A.	o2c1ccccc1c3ccc(N)cc23	Training	Carcinogen	Carcinogen
212	N.A.	C(C(CBr)Br)Cl	Training	Carcinogen	Carcinogen
213	N.A.	OC(CBr)C(O)C(O)C(O)CBr	Training	Carcinogen	Carcinogen
214	N.A.	C(CBr)Br	Training	Carcinogen	Carcinogen
215	N.A.	n1cccc2c1cc(cc2Br)Br	Training	NON-Carcinogen	Possible NON-Carcinogen
216	N.A.	O=NN(C(=O)NCCCC)CCCC	Training	Carcinogen	Carcinogen
217	N.A.	FC(C)(Cl)Cl	Training	Carcinogen	Carcinogen
218	N.A.	Nc1cc(c(N)c(c1)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
219	N.A.	O=C(O)C(Cl)Cl	Training	Carcinogen	Carcinogen
220	N.A.	C(#CCl)Cl	Training	Carcinogen	Carcinogen
221	N.A.	c1ccc(c(c1)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
222	N.A.	c1cc(ccc1Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
223	N.A.	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	Carcinogen	Carcinogen
224	N.A.	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Training	NON-Carcinogen	Carcinogen
225	N.A.	FC(F)(Cl)Cl	Training	NON-Carcinogen	Carcinogen
226	N.A.	CC(Cl)Cl	Training	NON-Carcinogen	Carcinogen
227	N.A.	C(CCl)Cl	Training	Carcinogen	Carcinogen
228	N.A.	Oc1ccc(cc1Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
229	N.A.	O=C(O)COc1ccc(cc1Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
230	N.A.	CC(CCl)Cl	Training	NON-Carcinogen	Carcinogen
231	N.A.	O=P(OC=C(Cl)Cl)(OC)OC	Training	Carcinogen	Carcinogen
232	N.A.	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	NON-Carcinogen	Carcinogen
233	N.A.	N(C(NC1CCCCC1)=S)C2CCCCC2	Training	NON-Carcinogen	Possible NON-Carcinogen
234	N.A.	O3C4CC5C2CC(C1OC12)C5(C34)	Training	NON-Carcinogen	Carcinogen
235	N.A.	O1C2C1C3C4C2C5C3C6(C4(C(C5(C6(Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
236	N.A.	O1CC1C2OC2	Training	NON-Carcinogen	Carcinogen
237	N.A.	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
238	N.A.	O=C(N(CC)CC)C	Training	Carcinogen	Possible NON-Carcinogen
239	N.A.	O=C(NC(=O)C)N(CC)CC	Training	NON-Carcinogen	Possible NON-Carcinogen
240	N.A.	OCCOCCO	Training	Carcinogen	Possible NON-Carcinogen
241	N.A.	O=CN(CC)CC	Training	NON-Carcinogen	Possible NON-Carcinogen
242	N.A.	O=C(OCC)C=CC(=O)OCC	Training	NON-Carcinogen	Possible NON-Carcinogen
243	N.A.	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	Carcinogen	Carcinogen
244	N.A.	N(C(NCC)=S)CC	Training	Carcinogen	Possible NON-Carcinogen
245	N.A.	O=C(O)C(N)(CCCN)C(F)F	Training	NON-Carcinogen	Carcinogen
246	N.A.	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	Carcinogen	Carcinogen
247	N.A.	O=C1NC(=NCN1C2OC(CO)C(O)C2(O))N	Training	NON-Carcinogen	Possible NON-Carcinogen
248	N.A.	O=C1NC(Nc2ccccc12)c3ccc([N+](=O)[O-])s3	Training	Carcinogen	Carcinogen
249	N.A.	O=NN1OCC=CC1	Training	Carcinogen	Carcinogen
250	N.A.	O=C2Oc1ccccc1CC2	Training	Carcinogen	Possible NON-Carcinogen
251	N.A.	O1c2ccc(cc2(OC1))CCC	Training	Carcinogen	Possible NON-Carcinogen
252	N.A.	O=C1OC(C(=O)N1)(C)C	Training	NON-Carcinogen	Carcinogen
