Id	CAS	SMILES	Status	Experimental value	Predicted value
50	75-09-2	C(Cl)Cl	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
51	75-47-8	C(I)(I)I	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
52	75-65-0	OC(C)(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
53	75-89-8	FC(F)(F)CO	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
54	75-97-8	O=C(C)C(C)(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
55	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
56	77-71-4	O=C1NC(=O)C(N1)(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
57	77-74-7	OC(C)(CC)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
58	77-75-8	C#CC(O)(C)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
59	78-27-3	C#CC1(O)(CCCCC1)	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
60	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
61	78-83-1	OCC(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
62	78-87-5	CC(CCl)Cl	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
63	78-90-0	NCC(N)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
64	78-92-2	OC(C)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
65	78-93-3	O=C(C)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
66	78-96-6	OC(C)CN	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
67	79-00-5	C(C(Cl)Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
68	79-01-6	C(=C(Cl)Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
69	79-20-9	O=C(OC)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
70	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
71	79-77-6	O=C(C=CC1=C(C)CCCC1(C)C)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
72	79-95-8	Oc1c(cc(cc1Cl)C(c2cc(c(O)c(c2)Cl)Cl)(C)C)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
73	80-46-6	Oc1ccc(cc1)C(C)(C)CC	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
74	80-52-4	NC(C)(C)C1CCC(N)(C)CC1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
75	81-19-6	c1cc(c(c(c1)Cl)C(Cl)Cl)Cl	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
76	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
77	83-34-1	c1ccc2c(c1)[nH]cc2C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
78	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
79	84-62-8	O=C(Oc1ccccc1)c3ccccc3(C(=O)Oc2ccccc2)	Training	Toxic-1 (less than 1 mg/l)	Toxic-2 (between 1 and 10 mg/l)
80	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
81	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
82	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	Toxic-1 (less than 1 mg/l)	Toxic-3 (between 10 and 100 mg/l)
83	87-17-2	O=C(Nc1ccccc1)c2ccccc2(O)	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
84	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	Toxic-1 (less than 1 mg/l)	Toxic-2 (between 1 and 10 mg/l)
85	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
86	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
87	88-30-2	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
88	88-68-6	O=C(N)c1ccccc1(N)	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
89	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
90	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
91	90-02-8	O=Cc1ccccc1(O)	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
92	90-15-3	Oc1cccc2ccccc12	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
93	90-43-7	Oc1ccccc1c2ccccc2	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
94	90-59-5	O=Cc1cc(cc(c1(O))Br)Br	Training	Toxic-1 (less than 1 mg/l)	Toxic-2 (between 1 and 10 mg/l)
95	91-20-3	c1ccc2ccccc2(c1)	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
96	91-22-5	n1cccc2ccccc12	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
97	91-65-6	N(CC)(CC)C1CCCCC1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
98	91-66-7	c1ccc(cc1)N(CC)CC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
99	91-88-3	OCCN(c1cccc(c1)C)CC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
100	93-91-4	O=C(c1ccccc1)CC(=O)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
101	94-09-7	O=C(OCC)c1ccc(N)cc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
102	94-62-2	O=C(C=CC=Cc1ccc2OCOc2(c1))N3CCCCC3	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
103	95-01-2	O=Cc1ccc(O)cc1(O)	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
104	95-47-6	c1ccc(c(c1)C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
105	95-48-7	Oc1ccccc1C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
106	95-50-1	c1ccc(c(c1)Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
107	95-51-2	Nc1ccccc1Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
108	95-52-3	Fc1ccccc1C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
109	95-57-8	Oc1ccccc1Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
110	95-63-6	c1cc(c(cc1C)C)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
111	95-75-0	c1cc(c(cc1C)Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
112	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
113	96-05-9	O=C(OCC=C)C(=C)C	Training	Toxic-1 (less than 1 mg/l)	Toxic-2 (between 1 and 10 mg/l)
114	96-13-9	OCC(CBr)Br	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
115	96-17-3	O=CC(C)CC	Training	Toxic-2 (between 1 and 10 mg/l)	NON-Toxic (more than 100 mg/l)
116	96-18-4	C(C(CCl)Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
117	96-22-0	O=C(CC)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
118	96-29-7	ON=C(C)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
119	96-80-0	OCCN(C(C)C)C(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
120	97-02-9	O=[N+]([O-])c1ccc(N)c(c1)[N+](=O)[O-]	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
121	97-23-4	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
122	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
123	98-82-8	c1ccc(cc1)C(C)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
124	98-86-2	O=C(c1ccccc1)C	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
125	98-95-3	O=[N+]([O-])c1ccccc1	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
126	99-03-6	O=C(c1cccc(N)c1)C	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
127	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-2 (between 1 and 10 mg/l)
128	99-97-8	c1cc(ccc1N(C)C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
129	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
130	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
131	100-10-7	O=Cc1ccc(cc1)N(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
132	100-25-4	O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-]	Training	Toxic-1 (less than 1 mg/l)	Toxic-3 (between 10 and 100 mg/l)
133	100-37-8	OCCN(CC)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
134	100-41-4	c1ccc(cc1)CC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
135	100-46-9	NCc1ccccc1	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
136	100-52-7	O=Cc1ccccc1	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
137	100-61-8	c1ccc(cc1)NC	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
138	100-64-1	ON=C1CCCCC1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
139	100-70-9	N#Cc1ncccc1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
140	100-71-0	n1ccccc1CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
141	100-79-8	OCC1OC(OC1)(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
142	100-97-0	N12(CN3CN(C1)CN(C2)C3)	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
143	101-84-8	O(c1ccccc1)c2ccccc2	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
144	102-27-2	c1cc(cc(c1)C)NCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
145	102-69-2	N(CCC)(CCC)CCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
146	102-71-6	OCCN(CCO)CCO	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
147	103-05-9	OC(C)(C)CCc1ccccc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
148	103-76-4	OCCN1CCNCC1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
149	103-83-3	c1ccc(cc1)CN(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
150	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
151	104-13-2	Nc1ccc(cc1)CCCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
152	104-40-5	Oc1ccc(cc1)CCCCCCCCC	Training	Toxic-1 (less than 1 mg/l)	Toxic-2 (between 1 and 10 mg/l)
153	104-76-7	OCC(CC)CCCC	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
154	104-88-1	O=Cc1ccc(cc1)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
155	104-90-5	n1cc(ccc1C)CC	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
156	105-14-6	O=C(C)CCCN(CC)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
157	105-53-3	O=C(OCC)CC(=O)OCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-2 (between 1 and 10 mg/l)
158	105-67-9	Oc1ccc(cc1C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
159	105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
160	105-99-7	O=C(OCCCC)CCCCC(=O)OCCCC	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
161	106-40-1	Nc1ccc(cc1)Br	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
162	106-42-3	c1cc(ccc1C)C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
163	106-44-5	Oc1ccc(cc1)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
164	106-47-8	Nc1ccc(cc1)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
165	106-48-9	Oc1ccc(cc1)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
166	106-49-0	Nc1ccc(cc1)C	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
167	106-63-8	O=C(OCC(C)C)C=C	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
168	106-94-5	CCCBr	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
169	107-02-8	O=CC=C	Training	Toxic-1 (less than 1 mg/l)	Toxic-3 (between 10 and 100 mg/l)
170	107-06-2	C(CCl)Cl	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
171	107-07-3	OCCCl	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
172	107-10-8	NCCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
173	107-12-0	N#CCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
174	107-14-2	N#CCCl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
175	107-15-3	NCCN	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
176	107-18-6	OCC=C	Training	Toxic-1 (less than 1 mg/l)	Toxic-3 (between 10 and 100 mg/l)
177	107-19-7	C#CCO	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
178	107-29-9	ON=CC	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
179	107-41-5	OC(C)CC(O)(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
180	107-45-9	NC(C)(C)CC(C)(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
181	107-47-1	CC(C)(C)SC(C)(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-2 (between 1 and 10 mg/l)
182	107-87-9	O=C(C)CCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
183	108-10-1	O=C(C)CC(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
184	108-20-3	O(C(C)C)C(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
185	108-88-3	c1ccc(cc1)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
186	108-89-4	n1ccc(cc1)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
187	108-90-7	c1ccc(cc1)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
188	108-93-0	OC1CCCCC1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
189	108-94-1	O=C1CCCCC1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
190	108-95-2	Oc1ccccc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
191	108-99-6	n1cccc(c1)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
192	109-01-3	N1CCN(C)CC1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
193	109-06-8	n1ccccc1C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
194	109-07-9	N1CCNC(C)C1	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
195	109-60-4	O=C(OCCC)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
196	109-64-8	C(CBr)CBr	Training	Toxic-2 (between 1 and 10 mg/l)	NON-Toxic (more than 100 mg/l)
197	109-65-9	CCCCBr	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
198	109-73-9	NCCCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
199	109-75-1	N#CCC=C	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
