Id	CAS	SMILES	Status	Experimental value	Predicted value
42	78-87-5	CC(CCl)Cl	Training	Carcinogen	Carcinogen
43	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	Carcinogen	Carcinogen
44	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	Carcinogen	Carcinogen
45	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	Carcinogen	Carcinogen
46	140-88-5	O=C(OCC)C=C	Training	Carcinogen	Possible NON-Carcinogen
47	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	Carcinogen	Carcinogen
48	108-78-1	n1c(nc(nc1N)N)N	Training	Carcinogen	Possible NON-Carcinogen
49	13552-44-8	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	Carcinogen	Carcinogen
50	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	Carcinogen	Carcinogen
51	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
52	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
53	75-56-9	O1CC1C	Training	Carcinogen	Carcinogen
54	542-75-6	C(=CCl)CCl	Training	Carcinogen	Possible NON-Carcinogen
55	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
56	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
57	26471-62-5	O=C=Nc1ccc(c(N=C=O)c1)C	Training	Carcinogen	Carcinogen
58	79-01-6	C(=C(Cl)Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
59	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	Carcinogen	Carcinogen
60	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	Carcinogen	Carcinogen
61	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	Carcinogen	Possible NON-Carcinogen
62	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	NON-Carcinogen	Carcinogen
63	105-60-2	O=C1NCCCCC1	Training	NON-Carcinogen	Possible NON-Carcinogen
64	1936-15-8	O=C3C=Cc1cc(cc(c1C3(=NNc2ccccc2))S(=O)(=O)O)S(=O)(=O)O	Training	NON-Carcinogen	Carcinogen
65	3567-69-9	O=C3C(=NNc1ccc(c2ccccc12)S(=O)(=O)O)C=C(c4ccccc34)S(=O)(=O)O	Training	NON-Carcinogen	Carcinogen
66	95-50-1	c1ccc(c(c1)Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
67	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	NON-Carcinogen	Carcinogen
68	148-24-3	Oc1cccc2cccnc12	Training	NON-Carcinogen	Carcinogen
69	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	NON-Carcinogen	Possible NON-Carcinogen
70	108-95-2	Oc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
71	115-07-1	C=CC	Training	NON-Carcinogen	Possible NON-Carcinogen
72	15481-70-6	Nc1cccc(N)c1C	Training	NON-Carcinogen	Carcinogen
73	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	NON-Carcinogen	Possible NON-Carcinogen
74	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	NON-Carcinogen	Possible NON-Carcinogen
75	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	NON-Carcinogen	Carcinogen
76	118-92-3	O=C(O)c1ccccc1(N)	Training	NON-Carcinogen	Carcinogen
77	77-65-6	O=C(N)NC(=O)C(CC)(CC)Br	Training	NON-Carcinogen	Possible NON-Carcinogen
78	140-49-8	O=C(Nc1ccc(cc1)C(=O)CCl)C	Training	NON-Carcinogen	Carcinogen
79	999-81-5	C[N+](C)(C)CCCl	Training	NON-Carcinogen	Possible NON-Carcinogen
80	6959-47-3	n1ccccc1CCl	Training	NON-Carcinogen	Carcinogen
81	94-20-2	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
82	56-72-4	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	NON-Carcinogen	Possible NON-Carcinogen
83	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	NON-Carcinogen	Carcinogen
84	262-12-4	O1c3ccccc3(Oc2ccccc12)	Training	NON-Carcinogen	Possible NON-Carcinogen
85	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	Carcinogen	Carcinogen
86	1212-29-9	N(C(NC1CCCCC1)=S)C2CCCCC2	Training	NON-Carcinogen	Possible NON-Carcinogen
87	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	NON-Carcinogen	Possible NON-Carcinogen
88	54150-69-5	O(c1ccc(N)c(OC)c1)C	Training	NON-Carcinogen	Carcinogen
89	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	Carcinogen	Carcinogen
90	78-34-2	O1CCOC(C1SP(OCC)(OCC)=S)SP(OCC)(OCC)=S	Training	NON-Carcinogen	Possible NON-Carcinogen
91	72-20-8	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
92	75-47-8	C(I)(I)I	Training	NON-Carcinogen	Possible NON-Carcinogen
93	434-13-9	O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	Training	NON-Carcinogen	Possible NON-Carcinogen
94	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	NON-Carcinogen	Carcinogen
95	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	NON-Carcinogen	Possible NON-Carcinogen
96	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	NON-Carcinogen	Carcinogen
97	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	NON-Carcinogen	Carcinogen
98	1465-25-4	NCCNc2cccc1ccccc12	Training	NON-Carcinogen	Carcinogen
99	619-17-0	O=C(O)c1ccc(cc1(N))[N+](=O)[O-]	Training	NON-Carcinogen	Carcinogen
100	86-57-7	O=[N+]([O-])c2cccc1ccccc12	Training	NON-Carcinogen	Carcinogen
101	99-56-9	O=[N+]([O-])c1ccc(N)c(N)c1	Training	NON-Carcinogen	Carcinogen
102	834-28-6	N(C(=NCCc1ccccc1)N)=C(N)N	Training	NON-Carcinogen	Possible NON-Carcinogen
103	624-18-0	Nc1ccc(N)cc1	Training	NON-Carcinogen	Carcinogen
104	89-25-8	O=C1N(N=C(C)C1)c2ccccc2	Training	NON-Carcinogen	Carcinogen
105	103-85-5	NC(Nc1ccccc1)=S	Training	NON-Carcinogen	Carcinogen
106	88-96-0	O=C(N)c1ccccc1(C(=O)N)	Training	NON-Carcinogen	Possible NON-Carcinogen
107	85-44-9	O=C1OC(=O)c2ccccc12	Training	NON-Carcinogen	Possible NON-Carcinogen
108	2783-94-0	O=C3C=Cc1cc(ccc1C3(=NNc2ccc(cc2)S(=O)(=O)O))S(=O)(=O)O	Training	NON-Carcinogen	Carcinogen
109	2438-88-2	O=[N+]([O-])c1c(c(c(OC)c(c1Cl)Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
110	97-77-8	C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Training	NON-Carcinogen	Possible NON-Carcinogen
111	1156-19-0	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	NON-Carcinogen	Carcinogen
112	64-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	NON-Carcinogen	Possible NON-Carcinogen
113	6369-59-1	Nc1ccc(N)c(c1)C	Training	NON-Carcinogen	Carcinogen
114	150-38-9	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	NON-Carcinogen	Carcinogen
115	73-22-3	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	NON-Carcinogen	Possible NON-Carcinogen
116	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	Carcinogen	Carcinogen
117	17026-81-2	O=C(Nc1ccc(OCC)c(N)c1)C	Training	Carcinogen	Carcinogen
118	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	Carcinogen	Carcinogen
119	119-34-6	O=[N+]([O-])c1cc(N)ccc1(O)	Training	Carcinogen	Carcinogen
120	121-66-4	O=[N+]([O-])c1cnc(N)s1	Training	Carcinogen	Carcinogen
121	142-04-1	Nc1ccccc1	Training	Carcinogen	Carcinogen
122	134-29-2	O(c1ccccc1(N))C	Training	Carcinogen	Carcinogen
123	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
124	109-69-3	CCCCCl	Training	NON-Carcinogen	Possible NON-Carcinogen
125	156-62-7	N#CN	Training	NON-Carcinogen	Possible NON-Carcinogen
126	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
127	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
128	20265-96-7	Nc1ccc(cc1)Cl	Training	Carcinogen	Carcinogen
129	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	Carcinogen	Carcinogen
130	563-47-3	C=C(C)CCl	Training	Carcinogen	Possible NON-Carcinogen
131	6959-48-4	n1cccc(c1)CCl	Training	Carcinogen	Carcinogen
132	5131-60-2	Nc1ccc(c(N)c1)Cl	Training	Carcinogen	Carcinogen
133	95-83-0	Nc1ccc(cc1(N))Cl	Training	Carcinogen	Carcinogen
134	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
135	95-74-9	Nc1ccc(c(c1)Cl)C	Training	NON-Carcinogen	Carcinogen
136	3165-93-3	Nc1ccc(cc1C)Cl	Training	Carcinogen	Carcinogen
137	95-79-4	Nc1cc(ccc1C)Cl	Training	Carcinogen	Carcinogen
138	87-29-6	O=C(OCC=Cc1ccccc1)c2ccccc2(N)	Training	Carcinogen	Carcinogen
139	102-50-1	O(c1ccc(N)c(c1)C)C	Training	Carcinogen	Carcinogen
140	120-71-8	O(c1ccc(cc1(N))C)C	Training	Carcinogen	Carcinogen
141	135-20-6	O=NN(O)c1ccccc1	Training	Carcinogen	Carcinogen
142	80-08-0	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
143	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
144	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	Carcinogen	Possible NON-Carcinogen
145	95-80-7	Nc1ccc(c(N)c1)C	Training	Carcinogen	Carcinogen
146	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
147	105-55-5	N(C(NCC)=S)CC	Training	Carcinogen	Possible NON-Carcinogen
148	91-93-0	O=C=Nc1ccc(cc1(OC))c2ccc(N=C=O)c(OC)c2	Training	Carcinogen	Carcinogen
149	597-25-1	O=P(OC)(OC)N1CCOCC1	Training	Carcinogen	Carcinogen
150	123-91-1	O1CCOCC1	Training	Carcinogen	Possible NON-Carcinogen
151	1937-37-7	O=S(=O)(O)c5cc6cc(c(N=Nc1ccc(cc1)c3ccc(N=Nc2ccc(N)cc2(N))cc3)c(N)c6(c(O)c5(N=Nc4ccccc4)))S(=O)(=O)O	Training	Carcinogen	Carcinogen
152	2602-46-2	O=C5C(=NNc1ccc(cc1)c2ccc(cc2)NN=C3C(=O)c4c(N)cc(cc4(C=C3S(=O)(=O)O))S(=O)(=O)O)C(=Cc6cc(cc(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	Carcinogen	Carcinogen
153	16071-86-6	O=C(O)c5cc(N=Nc1ccc(cc1)c2ccc(cc2)NN=C4C(=O)C=CC(=NNc3cc(ccc3(O))S(=O)(=O)O)C4(=O))ccc5(O)	Training	Carcinogen	Carcinogen
154	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	Carcinogen	Carcinogen
155	134-72-5	OC(c1ccccc1)C(NC)C	Training	NON-Carcinogen	Possible NON-Carcinogen
156	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
157	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
158	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	Carcinogen	Carcinogen
159	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	Carcinogen	Carcinogen
160	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	Carcinogen	Carcinogen
161	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
162	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	Carcinogen	Carcinogen
163	129-15-7	O=C2c3ccccc3(C(=O)c1c2(ccc(c1[N+](=O)[O-])C))	Training	Carcinogen	Carcinogen
164	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	Carcinogen	Carcinogen
165	2243-62-1	Nc1cccc2c(N)cccc12	Training	Carcinogen	Carcinogen
166	139-94-6	O=C(Nc1ncc([N+](=O)[O-])s1)NCC	Training	Carcinogen	Carcinogen
167	139-13-9	O=C(O)CN(CC(=O)O)CC(=O)O	Training	Carcinogen	Carcinogen
168	602-87-9	O=[N+]([O-])c3ccc2c1c3(cccc1CC2)	Training	Carcinogen	Carcinogen
169	1777-84-0	O=C(Nc1ccc(OCC)c(c1)[N+](=O)[O-])C	Training	Carcinogen	Carcinogen
170	94-52-0	O=[N+]([O-])c1ccc2[nH]cnc2(c1)	Training	Carcinogen	Carcinogen
171	99-59-2	O=[N+]([O-])c1ccc(OC)c(N)c1	Training	Carcinogen	Carcinogen
172	5307-14-2	O=[N+]([O-])c1cc(N)ccc1(N)	Training	Carcinogen	Carcinogen
173	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Training	Carcinogen	Carcinogen
174	99-55-8	O=[N+]([O-])c1ccc(c(N)c1)C	Training	Carcinogen	Carcinogen
175	136-40-3	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	Carcinogen	Carcinogen
176	3546-10-9	O=C(OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4)Cc5ccc(cc5)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
177	120-62-7	O=S(CCCCCCCC)C(C)Cc1ccc2OCOc2(c1)	Training	Carcinogen	Carcinogen
178	1955-45-9	O=C1OCC1(C)C	Training	Carcinogen	Carcinogen
179	366-70-1	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	Carcinogen	Carcinogen
180	105-11-3	O=Nc1ccc(cc1)NO	Training	Carcinogen	Carcinogen
181	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	Carcinogen	Carcinogen
182	100-42-5	C=Cc1ccccc1	Training	Carcinogen	Possible NON-Carcinogen
183	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	Carcinogen	Carcinogen
184	95-06-7	C=C(CSC(N(CC)CC)=S)Cl	Training	Carcinogen	Possible NON-Carcinogen
185	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	NON-Carcinogen	Carcinogen
186	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
187	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
188	961-11-5	O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC	Training	Carcinogen	Carcinogen
189	139-65-1	Nc1ccc(cc1)Sc2ccc(N)cc2	Training	Carcinogen	Carcinogen
190	79-00-5	C(C(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
191	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	Carcinogen	Carcinogen
192	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	Carcinogen	Carcinogen
193	137-17-7	Nc1cc(c(cc1C)C)C	Training	Carcinogen	Carcinogen
194	2489-77-2	N(C(N(C)C)=S)C	Training	Carcinogen	Possible NON-Carcinogen
195	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	Carcinogen	Carcinogen
196	100-40-3	C=CC1CC=CCC1	Training	Carcinogen	Carcinogen
197	107-13-1	N#CC=C	Training	Carcinogen	Possible NON-Carcinogen
198	542-88-1	O(CCl)CCl	Training	Carcinogen	Possible NON-Carcinogen
199	107-30-2	O(C)CCl	Training	Carcinogen	Possible NON-Carcinogen
200	75-21-8	O1CC1	Training	Carcinogen	Possible NON-Carcinogen
201	148-82-3	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
202	92-67-1	Nc1ccc(cc1)c2ccccc2	Training	Carcinogen	Carcinogen
203	494-03-1	c1ccc2cc(ccc2(c1))N(CCCl)CCCl	Training	Carcinogen	Carcinogen
204	434-07-1	O=C1C(=CO)CC4(C)(C(C1)CCC3C4(CCC2(C)(C3(CCC2(O)(C)))))	Training	Carcinogen	Possible NON-Carcinogen
205	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
206	107-06-2	C(CCl)Cl	Training	Carcinogen	Carcinogen
207	75-01-4	C=CCl	Training	Carcinogen	Possible NON-Carcinogen
208	121-88-0	O=[N+]([O-])c1ccc(N)c(O)c1	Training	Carcinogen	Carcinogen
209	100-51-6	OCc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
210	75-27-4	C(Cl)(Cl)Br	Training	Carcinogen	Possible NON-Carcinogen
211	569-61-9	N=C1C=CC(C=C1)=C(c2ccc(N)cc2)c3ccc(N)cc3	Training	Carcinogen	Carcinogen
212	106-46-7	c1cc(ccc1Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
213	75-09-2	C(Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
214	120-83-2	Oc1ccc(cc1Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
215	513-37-1	C(=C(C)C)Cl	Training	Carcinogen	Possible NON-Carcinogen
216	106-88-7	O1CC1CC	Training	Carcinogen	Carcinogen
217	54-31-9	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Training	Carcinogen	Carcinogen
218	5989-27-5	C=C(C)C1CC=C(C)CC1	Training	Carcinogen	Carcinogen
219	24382-04-5	O=CCC=O	Training	Carcinogen	Possible NON-Carcinogen
220	149-30-4	c1ccc2c(c1)NC(=S)S2	Training	Carcinogen	Carcinogen
221	598-55-0	O=C(OC)N	Training	Carcinogen	Possible NON-Carcinogen
222	80-62-6	O=C(OC)C(=C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
223	67-20-9	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	Carcinogen	Carcinogen
224	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	Carcinogen	Carcinogen
225	61-76-7	Oc1cccc(c1)C(O)CNC	Training	NON-Carcinogen	Possible NON-Carcinogen
226	64-75-5	O=C3C(=C(O)N)C(=O)C4(O)(C(=O)C2=C(O)c1c(O)cccc1C(O)(C)C2CC4(C3N(C)C))	Training	NON-Carcinogen	Possible NON-Carcinogen
227	75-25-2	C(Br)(Br)Br	Training	Carcinogen	Possible NON-Carcinogen
228	79-06-1	O=C(N)C=C	Training	Carcinogen	Carcinogen
229	759-73-9	O=NN(C(=O)N)CC	Training	Carcinogen	Carcinogen
230	62-50-0	O=S(=O)(OCC)C	Training	Carcinogen	Carcinogen
231	66-27-3	O=S(=O)(OC)C	Training	Carcinogen	Carcinogen
232	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	Carcinogen	Possible NON-Carcinogen
233	68-76-8	O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4	Training	Carcinogen	Carcinogen
234	512-56-1	O=P(OC)(OC)OC	Training	Carcinogen	Carcinogen
235	51-75-2	N(C)(CCCl)CCCl	Training	Carcinogen	Carcinogen
236	126-85-2	[O-][N+](C)(CCCl)CCCl	Training	Carcinogen	Carcinogen
237	446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2[nH]cnc23)C	Training	Carcinogen	Carcinogen
238	60-13-9	NC(C)Cc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
239	91-20-3	c1ccc2ccccc2(c1)	Training	Carcinogen	Carcinogen
240	58-33-3	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C	Training	NON-Carcinogen	Carcinogen
241	108-46-3	Oc1cccc(O)c1	Training	NON-Carcinogen	Possible NON-Carcinogen
242	79-11-8	O=C(O)CCl	Training	NON-Carcinogen	Possible NON-Carcinogen
243	1330-78-5	O=P(Oc1ccc(cc1)C)(Oc2ccc(cc2)C)Oc3ccc(cc3)C	Training	NON-Carcinogen	Possible NON-Carcinogen
244	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Training	Carcinogen	Possible NON-Carcinogen
245	3296-90-0	OCC(CO)(CBr)CBr	Training	Carcinogen	Possible NON-Carcinogen
246	75-65-0	OC(C)(C)C	Training	Carcinogen	Possible NON-Carcinogen
247	119-84-6	O=C2Oc1ccccc1CC2	Training	Carcinogen	Possible NON-Carcinogen
248	96-69-5	Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
249	396-01-0	n1c(nc(N)c2nc(c(nc12)N)c3ccccc3)N	Training	Carcinogen	Carcinogen
250	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	Carcinogen	Carcinogen
251	1825-21-4	O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C	Training	Carcinogen	Carcinogen
252	74-83-9	CBr	Training	NON-Carcinogen	Possible NON-Carcinogen
253	62-23-7	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	Carcinogen	Carcinogen
254	115-96-8	O=P(OCCCl)(OCCCl)OCCCl	Training	Carcinogen	Carcinogen
255	137-09-7	Oc1ccc(N)cc1(N)	Training	Carcinogen	Carcinogen
256	91-64-5	O=C1Oc2ccccc2(C=C1)	Training	Carcinogen	Possible NON-Carcinogen
257	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	Carcinogen	Carcinogen
258	75-07-0	O=CC	Training	Carcinogen	Possible NON-Carcinogen
259	16568-02-8	O=CN(N=CC)C	Training	Carcinogen	Carcinogen
260	60-35-5	O=C(N)C	Training	Carcinogen	Possible NON-Carcinogen
